지역,건물용도,건물용도구분,연면적,창면적비,난방방식,냉방방식,태양광용량,태양광_후면,태양광_밀착,지열여부,열병합여부,태양광비율,에너지자립률,1차에너지소요량,최종등급,비율구간,보간_자립률,보간_1차에너지,잔차_자립률,잔차_1차에너지
2,3,1,554.18,18.17,0,0,13.44,112.02298333333333,120.024625,0,0,0.20214187327823693,21.19,220.5,5,20~25%,43.99417355371901,91.09438016528925,-22.804173553719007,129.40561983471076
8,28,1,4630.01,24.75,0,0,74.88,668.8845803571429,716.6620503826531,0,0,0.14446719993199644,21.23,139.6,5,10~15%,35.09876798707932,99.37910081264866,-13.86876798707932,40.220899187351336
12,7,1,790.17,23.23,0,0,15.12,126.18521666666668,135.19844642857143,0,0,0.1596937578833247,21.28,138.3,5,15~20%,37.99181399783169,96.5469610337016,-16.71181399783169,41.753038966298405
14,3,1,962.282,29.08,0,0,37.8,167.571,179.54035714285712,0,0,0.1741391816536109,21.29,264.7,5,15~20%,40.73644451418607,93.86011221242838,-19.44644451418607,170.83988778757163
12,28,1,999.41,5.66,0,0,19.05,83.751,89.73321428571428,0,0,0.08380044226093396,21.33,143.7,5,5~10%,23.73688226053372,113.71188501215717,-2.4068822605337203,29.98811498784282
16,26,1,745.12,30.67,1,1,20.0,166.998,178.92642857142854,0,0,0.22412228902727077,21.33,248.5,5,20~25%,46.49994094910887,88.98426025338202,-25.16994094910887,159.51573974661798
13,18,1,3319.16,19.32,0,0,57.2,510.9299464285714,547.4249426020408,0,0,0.1539335092097312,21.35,142.7,5,15~20%,36.89736674984893,97.61836728699,-15.547366749848926,45.081632713009995
11,6,1,2352.36,17.39,0,0,48.0,400.6614583333333,429.2801339285714,0,0,0.17032318961950266,21.39,236.1,5,15~20%,40.011406027705505,94.56988673077251,-18.621406027705504,141.53011326922748
8,0,0,128593.9508,15.32,2,0,2566.054,23229.001000000004,24888.215357142857,0,0,0.18063836483356574,21.42,90.4,5,15~20%,41.542773591026496,93.1587169759777,-20.122773591026494,-2.7587169759776913
1,3,1,13703.62,14.71,2,1,226.56,1924.4192916666666,2061.8778125,0,0,0.1404314547299667,21.42,191.9,5,10~15%,34.331976398693676,100.12974942022619,-12.911976398693675,91.77025057977382
0,6,1,1105.19,6.88,0,0,35.2,293.4572,314.41842857142854,0,0,0.2655264705616229,21.43,175.6,5,25~30%,53.894764701092114,78.52522353622454,-32.464764701092115,97.07477646377545
1,3,1,802.22,17.63,0,0,25.92,140.88386666666668,150.947,0,0,0.1756174947853041,21.53,153.9,5,15~20%,40.970394405524665,93.64072050061081,-19.440394405524664,60.259279499389194
12,24,0,2442.848,20.97,2,0,33.02,274.9651,294.6054642857143,0,0,0.11255923413982369,21.56,108.4,5,10~15%,29.086017550007206,106.23459912364584,-7.526017550007207,2.1654008763541697
2,6,1,1076.59,22.41,0,0,56.7,473.2289333333334,507.031,0,0,0.43956281716654755,21.6,311.9,5,40~50%,78.75431216464332,42.275581883539665,-57.15431216464332,269.62441811646033
2,11,1,8633.77,23.7,0,0,125.97,1049.5038666666665,1124.4684285714281,0,0,0.12155800613945777,21.65,193.2,5,10~15%,30.759789141939144,103.89491840374097,-9.109789141939146,89.30508159625901
1,0,0,144219.87,17.11,3,0,615.57,5139.536691666667,5506.646455357143,0,0,0.03563681406498749,21.68,80.2,5,2~5%,11.865571656896746,130.66278676079216,9.814428343103254,-50.462786760792156
8,0,0,2213.59,21.8,2,0,51.24,480.0862321428571,514.3781058673469,0,0,0.2168812797956519,21.68,125.3,5,20~25%,45.67446589670432,89.67939713961742,-23.99446589670432,35.620602860382576
1,3,1,912.54,29.27,0,0,35.2,293.39098333333334,314.34748214285713,0,0,0.3215102716958526,21.79,269.0,5,30~40%,59.07276695329033,73.61945217622119,-37.282766953290334,195.3805478237788
8,0,0,67417.98,19.0,2,0,800.73,6661.573125,7137.3997767857145,0,0,0.09881003739655209,21.85,80.3,5,5~10%,26.528666955758688,109.80939027689645,-4.678666955758686,-29.509390276896454
0,6,1,1256.67,8.36,0,0,46.2,412.67418749999996,442.1509151785713,0,0,0.3283870765594786,21.91,176.6,5,30~40%,59.5862350497744,73.25268925016114,-37.676235049774405,103.34731074983885
1,6,1,583.69,23.01,0,0,30.8,275.116125,294.76727678571433,0,0,0.471339452449074,21.94,285.4,5,40~50%,83.71639183470677,33.74966292038582,-61.77639183470677,251.65033707961416
0,3,1,740.04,15.79,0,0,14.4,120.19754166666667,128.78308035714286,0,0,0.16242033088301533,22.01,152.0,5,15~20%,38.50986286777291,96.03981845575915,-16.499862867772908,55.960181544240854
15,18,1,976.59,19.79,0,0,31.2,260.112375,278.69183035714286,0,0,0.26634757165238226,22.06,161.7,5,25~30%,54.04256289742881,78.31502165699014,-31.98256289742881,83.38497834300985
9,28,1,35694.01,28.11,1,1,66.56,554.2868666666667,593.8787857142858,0,0,0.015528848304426055,22.07,169.8,5,0~2%,6.637500559150774,123.11153932177042,15.432499440849227,46.68846067822959
0,3,1,588.0,10.51,0,0,16.2,144.70651785714284,155.0426977040816,0,0,0.24609952016520892,22.12,205.4,5,20~25%,50.3979136297376,83.49852283770652,-28.2779136297376,121.90147716229349
8,6,1,931.35,19.87,2,0,15.36,128.02435833333337,137.1689553571429,0,0,0.13746106010987638,22.15,96.0,5,10~15%,33.76760142087651,100.68224281956299,-11.617601420876511,-4.682242819562987
1,0,0,66630.6549,20.37,2,0,1114.8,9294.028958333332,9957.888169642856,0,0,0.13948578131615114,22.17,92.4,5,10~15%,34.15229845006871,100.3056446751959,-11.982298450068711,-7.905644675195887
1,6,1,1596.42,16.8,0,0,42.0,195.341,209.29392857142855,0,0,0.12236190977311735,22.18,140.5,5,10~15%,30.90931521779983,103.68590345898949,-8.72931521779983,36.814096541010514
11,6,1,1276.7,14.2,0,0,34.56,150.814,161.58642857142854,0,0,0.11812798621445915,22.19,114.3,5,10~15%,30.1218054358894,104.78672358424062,-7.931805435889398,9.513276415759378
1,6,1,1016.4,4.76,0,0,33.0,294.76727678571433,315.8220822704082,0,0,0.29001109483049425,22.23,136.7,5,25~30%,56.720828414010235,75.29940827570697,-34.49082841401024,61.40059172429302
2,28,1,985.51,25.98,0,0,19.2,83.859,89.84892857142856,0,0,0.08509198283122443,22.25,164.2,5,5~10%,23.977108806607745,113.37608446388165,-1.7271088066077454,50.823915536118335
2,0,0,23308.47,16.59,2,0,239.4,1998.0754166666666,2140.7950892857143,0,0,0.08572314770839383,22.28,78.5,5,5~10%,24.094505473761252,113.2119815958176,-1.8145054737612512,-34.711981595817605
2,3,1,997.18,22.69,0,0,23.04,100.631,107.81892857142857,0,0,0.10091558194107383,22.3,128.0,5,10~15%,26.920298241039735,109.2619486953208,-4.620298241039734,18.738051304679203
8,17,1,8131.25,37.33,0,0,246.4,1004.4477333333333,1076.194,0,0,0.12352931386113246,22.33,120.2,5,10~15%,31.126452378170637,103.38237839610557,-8.796452378170638,16.817621603894437
4,3,1,8787.6,20.31,0,0,91.723,819.3112499999999,877.833482142857,0,0,0.09323492762529016,22.34,102.1,5,5~10%,25.49169653830397,111.25891881742456,-3.1516965383039697,-9.158918817424563
8,0,0,14064.71,18.74,2,0,176.631,1494.9037500000002,1601.6825892857144,0,0,0.10628756298565703,22.34,77.9,5,10~15%,27.91948671533221,107.86523362372917,-5.579486715332209,-29.965233623729162
