태양광비율,에너지자립률,최종등급
0.0064130903802619805,2.5107615006357333,인증불가
0.007254127336056966,2.5114155251141552,인증불가
0.005288090176989749,2.513875285667646,인증불가
0.007056049348858268,2.5188092901537456,인증불가
0.006431030923721298,2.522935779816514,인증불가
0.005598854166465864,2.527075812274368,인증불가
0.005561664387651436,2.5284104608361595,인증불가
0.009427566066072014,2.5303976339139003,인증불가
0.006364246215932401,2.533728200065811,인증불가
0.01616889676741444,2.5342187288250435,인증불가
0.0069791365938155926,2.5345622119815667,인증불가
0.01586945623912759,2.535593220338983,인증불가
0.004831909732226673,2.5384615384615383,인증불가
0.0059771394449634856,2.5404157043879905,인증불가
0.007699978599703491,2.5434255030479065,5
0.009819898028520149,2.5541795665634672,인증불가
0.005530449203678189,2.5565444135819964,인증불가
0.01181742073036846,2.5567673878061865,인증불가
0.005192929762803457,2.558989697573945,인증불가
0.007752542667943302,2.559189817982756,인증불가
0.007318113801099565,2.5633058878359485,인증불가
0.006747122625533223,2.5641025641025643,인증불가
0.00518239369943044,2.5675225075025008,인증불가
0.008334610834180214,2.568514194420548,인증불가
0.008643411211921819,2.570093457943925,인증불가
0.005799666544994294,2.5729685752059397,인증불가
0.0053560409300534755,2.5730994152046787,인증불가
0.011522921959476937,2.576112412177986,5
0.009757060909116157,2.577209797657082,인증불가
0.013128843625814056,2.5773831545196693,인증불가
0.008056135471521904,2.5814863102998697,인증불가
0.0081800352484352,2.583282595459685,5
0.013282660845849989,2.586713697824809,인증불가
0.011058648111332009,2.589976454759502,인증불가
0.005486290657649962,2.589976454759502,인증불가
0.01542137608195857,2.5914445133292,인증불가
0.014707823422416227,2.594017624425965,인증불가
0.004894002336153321,2.5952140208965284,인증불가
0.01824142441386407,2.5971238463189525,인증불가
0.016852297910781737,2.6033936379317257,인증불가
0.005835765715395078,2.603483798464132,인증불가
0.019899244027894586,2.609982803282614,인증불가
0.00809583018471009,2.613955497947721,5
0.0197002743966791,2.6169706582077716,5
0.0054469260807772325,2.6174789970377326,인증불가
0.018622162377650842,2.6198612405508954,인증불가
0.011918356102384477,2.6200873362445414,인증불가
0.006077645392933237,2.6217228464419473,인증불가
0.005963979484857125,2.622169249106079,인증불가
0.011242565611527713,2.62350936967632,인증불가
0.014186285164600033,2.623732856290996,인증불가
0.006510493079813491,2.624683442390175,인증불가
0.006348501798004257,2.6252983293556085,인증불가
0.005298136975577493,2.6252983293556085,인증불가
0.009611577974328317,2.629261542332369,인증불가
0.0058981144984750124,2.6303990434912565,인증불가
0.006455316345369431,2.632654252524663,인증불가
0.006829182256836951,2.636309167165968,인증불가
0.005672895129102364,2.645139127447613,인증불가
0.006140929023401885,2.6506024096385543,인증불가
0.015944735999148096,2.6525690966425532,5
0.004891695269402252,2.6625786670969824,인증불가
0.010374917942482463,2.6664180495991054,5
0.006521419115377743,2.666666666666667,인증불가
0.010931631394398017,2.6684082851278226,5
0.013988068253107283,2.6763990267639897,인증불가
0.005637245836800738,2.681618722574354,인증불가
0.00781702151935201,2.6861213699017172,인증불가
0.006090617195733459,2.6886100700668076,인증불가
0.008842641544181852,2.6904985888993416,5
0.012452515918317877,2.6911314984709485,5
0.019696324484949564,2.691809414135598,인증불가
0.015263876206848886,2.6925249482206746,5
0.006792637122048614,2.694427434170239,인증불가
0.00915716367259592,2.6951347567378368,인증불가
0.011657003534723112,2.6957306848961693,인증불가
0.004891849793056756,2.700661000944287,인증불가
0.008850354766747127,2.701043585021486,5
0.011314415339839068,2.7091936136060086,인증불가
0.018765829677886044,2.7095502850306143,인증불가
0.017022153188122245,2.7106949236076887,인증불가
0.005699457258330144,2.7109004739336493,인증불가
0.005091165876256568,2.712222613596337,인증불가
0.011992381422843996,2.7133695115934877,인증불가
0.013791364394615356,2.7141346492774057,인증불가
0.017473545224841843,2.7150180368331123,5
0.009892323259321484,2.7247324686100565,인증불가
0.0048403056015608615,2.7261462205700124,인증불가
0.004867191123824937,2.729098570472177,인증불가
0.005570057762479493,2.7334043308484204,인증불가
0.008483140705864272,2.7355623100303954,인증불가
0.00759580010314722,2.736318407960199,인증불가
0.017017449027336762,2.7364364493910243,인증불가
0.008596270942134915,2.73768043802887,인증불가
0.00691460443572743,2.739964085037363,인증불가
0.00615831795138242,2.741189035243859,인증불가
0.007384488193422514,2.7439471753484956,인증불가
0.013706035743814793,2.747172028793888,인증불가
0.007732744386898294,2.751876279281328,5
0.006944452613351207,2.753441802252816,인증불가
0.014383630178106864,2.754767867462917,5
0.005424856281422963,2.7548714189725736,인증불가
0.0052943851080731385,2.754919499105545,인증불가
0.006572794509708492,2.7550509266989485,인증불가
0.006753022523855554,2.7568922305764407,인증불가
0.007518701774593643,2.758347630988518,인증불가
0.005723431699052573,2.7608461814270346,인증불가
0.01707483877266618,2.76099284187041,인증불가
0.014551464258109922,2.764811490125673,인증불가
0.005762366093335441,2.7661357921207044,인증불가
0.009303181689576287,2.768456375838926,5
0.008551950457084954,2.770116320901787,인증불가
0.006973364976224636,2.7742749054224465,인증불가
0.00571756912063728,2.7744308962680932,인증불가
0.006875095353967008,2.7757427757427755,인증불가
0.014222528617443494,2.7762537035004935,인증불가
0.008785716051474404,2.7769084725960234,인증불가
0.019190591311534663,2.778317466485332,5
0.0063743825861755695,2.7816802472604665,인증불가
0.006351502555083122,2.7827972533429706,인증불가
0.013311059482961974,2.782931354359926,인증불가
0.012231768318904315,2.7848101265822782,인증불가
0.007978276648773978,2.786377708978329,인증불가
0.006738189476810004,2.7881318025943047,인증불가
0.01133414406681464,2.790866255889815,5
0.014545485054437151,2.792656619168514,인증불가
0.009816375777962535,2.7961362480935437,인증불가
0.005688607640771128,2.7989821882951653,인증불가
0.008106152564875542,2.799732083054253,인증불가
0.01452528145483334,2.804239903394606,인증불가
0.005886070889375991,2.8089887640449436,인증불가
0.0061021925708300015,2.813299232736573,인증불가
0.012940319905124335,2.813299232736573,5
0.004907888352411601,2.817416758141236,인증불가
0.010332481868679385,2.8217186831979477,인증불가
0.008066704298210622,2.8229255774165956,인증불가
0.006304842087760676,2.83067421513124,인증불가
0.006838318606950542,2.8307444268750195,인증불가
